Date (days since 1/1/2021),Primary Type,Primary Type Code,Location Description,Location Description Code,Arrest,Latitude,Longitude
3.794185787699067,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.789165518,-87.708336903
2.9741969178479857,BATTERY,2,RESIDENCE,99,0,41.740861086,-87.740060732
8.863523758598756,WEAPONS VIOLATION,30,POLICE FACILITY / VEHICLE PARKING LOT,96,0,41.691413679,-87.668826246
2.60589683215386,THEFT,29,STREET,112,0,41.858463892,-87.720037051
3.919268835642452,MOTOR VEHICLE THEFT,16,STREET,112,0,41.894086051,-87.71627324
6.790619691781662,OTHER OFFENSE,22,APARTMENT,17,0,41.911786903,-87.763084769
6.836483475994351,BATTERY,2,APARTMENT,17,0,41.861595365,-87.716501289
6.6294015410824665,DECEPTIVE PRACTICE,8,COMMERCIAL / BUSINESS OFFICE,44,0,41.878630716,-87.636673298
4.829595462341534,ROBBERY,26,SIDEWALK,109,0,41.848204364,-87.635179395
5.923377226057466,OTHER OFFENSE,22,STREET,112,1,41.772082529,-87.673056942
7.65091309928678,BATTERY,2,APARTMENT,17,0,41.777853019,-87.772019649
6.671095890396928,MOTOR VEHICLE THEFT,16,RESTAURANT,103,0,41.962393955,-87.654755973
3.4606309931833725,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.952338968,-87.758260492
4.9706613441721865,THEFT,29,APARTMENT,17,0,42.021162617,-87.671513028
7.705115753462017,BATTERY,2,APARTMENT,17,0,41.866304579,-87.621622648
6.628706635293778,ASSAULT,1,STREET,112,0,41.814887983,-87.689506618
0.00347452910953848,ROBBERY,26,OTHER RAILROAD PROPERTY / TRAIN DEPOT,91,0,41.924476872,-87.727313071
0.9798172088898514,ASSAULT,1,STREET,112,0,41.759370776,-87.670170807
0.3335547945156941,OTHER OFFENSE,22,APARTMENT,17,1,41.810434717,-87.6641789
4.923407748299073,BATTERY,2,DRIVEWAY - RESIDENTIAL,60,0,41.700586268,-87.650741113
7.83714785962448,MOTOR VEHICLE THEFT,16,GAS STATION,69,0,41.876351148,-87.666880865
6.671095890396928,DECEPTIVE PRACTICE,8,APARTMENT,17,0,41.793588428,-87.619196923
8.509121789342784,BATTERY,2,RESIDENCE,99,0,41.765800217,-87.686944209
8.978878125002215,WEAPONS VIOLATION,30,STREET,112,0,41.74485249,-87.733941121
1.8553985444935484,THEFT,29,TAVERN / LIQUOR STORE,113,0,41.774069965,-87.644639452
6.23330522259508,THEFT,29,CONSTRUCTION SITE,45,0,41.880177561,-87.636975968
7.473712114700318,BATTERY,2,RESIDENCE,99,0,41.7646807,-87.623282046
6.420929794510157,CRIMINAL DAMAGE,5,APARTMENT,17,0,41.927862889,-87.750028249
5.999816866467312,CRIMINAL DAMAGE,5,STREET,112,0,41.773637424,-87.622732349
0.5837208904024647,MOTOR VEHICLE THEFT,16,STREET,112,0,41.794947039,-87.674329547
6.087374999994464,CRIMINAL DAMAGE,5,GROCERY FOOD STORE,72,0,41.794852916,-87.645172451
4.716325813387189,BATTERY,2,ALLEY,15,0,41.893223483,-87.63153437
8.693271832231371,THEFT,29,RESIDENCE,99,0,41.774884946,-87.69450045
7.984467893802474,ROBBERY,26,RESIDENCE,99,0,41.860043969,-87.718894972
3.5544432791409117,THEFT,29,STREET,112,0,41.766490771,-87.641989643
4.190282106186453,CRIMINAL DAMAGE,5,STREET,112,0,41.94142176,-87.758119684
1.0298504280838148,WEAPONS VIOLATION,30,ALLEY,15,1,41.852623011,-87.716246144
5.753820205478769,THEFT,29,GAS STATION,69,0,41.953643409,-87.72801475
1.8345513698363174,OTHER OFFENSE,22,HOSPITAL BUILDING / GROUNDS,76,0,41.792195498,-87.604958508
5.587737714009612,THEFT,29,APARTMENT,17,0,41.96780792,-87.672573016
5.04501626713292,BATTERY,2,APARTMENT,17,0,41.797700881,-87.617676981
4.753155821931688,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.830164164,-87.620529747
7.963620719145243,CRIMINAL DAMAGE,5,STREET,112,0,41.889023706,-87.649087622
3.7316442637273743,CRIMINAL DAMAGE,5,STREET,112,0,41.757341587,-87.63568495
6.71279023971139,OTHER OFFENSE,22,APARTMENT,17,0,41.909874716,-87.781735325
3.8011348459181438,OTHER OFFENSE,22,STREET,112,1,41.924192588,-87.749778735
8.797507705517525,CRIMINAL DAMAGE,5,STREET,112,0,41.867127516,-87.721066673
5.0999138270138,CRIMINAL DAMAGE,5,STREET,112,1,41.808566317,-87.668985087
7.463288527371702,ASSAULT,1,CTA STATION,53,1,41.922039747,-87.697330182
0.005559246558652262,WEAPONS VIOLATION,30,STREET,112,1,41.877225366,-87.714735361
6.69194306505416,CRIMINAL DAMAGE,5,STREET,112,0,42.008092015,-87.675320611
2.8143685787261687,BATTERY,2,APARTMENT,17,0,41.753608433,-87.5519759
4.770528467479379,ROBBERY,26,STREET,112,0,41.890032301,-87.773477292
0.7678709332080041,ASSAULT,1,STREET,112,0,41.758195007,-87.566357181
1.4523531677870847,ASSAULT,1,APARTMENT,17,0,41.811310635,-87.60949592
2.5120845461963213,MOTOR VEHICLE THEFT,16,STREET,112,0,41.897478161,-87.631267403
4.367483090772916,CRIMINAL DAMAGE,5,RESIDENCE,99,1,41.665425575,-87.621299385
1.421777311672974,BATTERY,2,SIDEWALK,109,1,41.863663168,-87.717781003
6.911533304826819,NARCOTICS,17,STREET,112,1,41.774906465,-87.69937613
3.960963184956914,CRIMINAL SEXUAL ASSAULT,6,RESIDENCE,99,0,41.692569761,-87.624397882
3.9018961900947597,BATTERY,2,CTA TRAIN,55,0,41.885296316,-87.716798514
0.002084717449113782,CRIMINAL DAMAGE,5,APARTMENT,17,0,41.895495322,-87.641874619
4.80110432359349,BATTERY,2,STREET,112,0,41.939595475,-87.676536185
0.948546446904005,CRIMINAL TRESPASS,7,RESIDENCE,99,0,42.000562295,-87.672988444
0.03683000854449858,BATTERY,2,STREET,112,1,41.722458161,-87.576211117
