Suspensions_Per_100_Students_Year_1_Pct,Student_Attendance_Year_1_Pct,One_Year_Dropout_Rate_Year_1_Pct,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,Chronic_Truancy_Pct,Latitude,Longitude
2.3,95.0,,,,,7.8,41.885321,-87.705855
,93.1,,,,,3.9,41.653663,-87.605039
4.7,96.1,,,,,4.7,41.893612,-87.759398
0.2,95.2,,,,,5.3,42.007703,-87.673168
0.4,94.9,,,,,2.8,41.9139,-87.637565
0.8,95.1,,,,,6.9,41.799046,-87.758928
1.4,93.4,,,,,10.2,41.962308,-87.663853
,94.6,,,,,6.8,41.877861,-87.698739
1.2,96.1,,,,,3.9,41.892082,-87.683185
,86.3,26.4,,,67.2,36.7,41.746287,-87.578492
0.0,96.0,,,,,4.4,41.856029,-87.65798
,90.5,0.5,88.5,79.7,67.2,21.2,41.809171,-87.730467
1.7,95.8,,,,,11.4,41.758925,-87.649217
0.0,74.0,50.5,,79.7,67.2,,41.765929,-87.69073
1.2,95.3,,,,,4.2,41.967847,-87.676288
,95.8,,,,,6.3,41.793556,-87.639967
3.3,91.2,0.5,88.5,79.7,67.2,10.8,41.782041,-87.671662
3.0,94.5,,,,,9.0,41.92091,-87.721888
0.3,91.1,,,,,13.3,41.809135,-87.627137
1.8,95.8,,,,,2.9,41.960746,-87.670922
1.2,93.8,,,,,16.6,41.781225,-87.675547
0.0,95.7,,,,,1.9,41.917993,-87.694562
4.7,93.3,,,,,9.7,41.760847,-87.576075
2.2,89.9,1.4,88.5,79.7,67.2,17.2,41.982961,-87.791547
0.0,95.8,,,,,3.5,41.776453,-87.640892
0.0,76.8,35.5,,79.7,67.2,50.1,41.691953,-87.654248
19.6,94.1,,,,,9.4,41.775424,-87.609357
,94.1,,,,,12.2,41.877248,-87.705235
1.2,94.7,,,,,6.1,41.847747,-87.700184
1.7,94.3,0.5,88.5,79.7,67.2,6.4,41.916045,-87.721742
1.6,93.9,,,,,6.0,41.775305,-87.728884
,90.4,3.8,88.5,79.7,67.2,26.4,41.895362,-87.718047
0.4,95.9,,,,,7.4,41.68666,-87.633632
7.7,96.7,,,,,4.2,41.789828,-87.622453
,,,,,,,41.827775,-87.677542
5.8,94.2,,,,,5.1,41.862081,-87.718994
2.9,92.5,,,,,7.8,41.75467,-87.645469
0.5,92.1,0.7,88.5,79.7,67.2,16.0,41.836169,-87.735278
3.0,93.7,,,,,9.8,41.714402,-87.567131
0.3,95.5,,,,,3.1,41.961721,-87.707151
4.2,91.9,,,,,16.4,41.765076,-87.658205
1.9,95.5,,,,,5.8,41.904503,-87.714234
7.1,95.9,,,,,4.9,41.859741,-87.628349
10.9,93.1,,,,,14.6,41.74034,-87.607891
,87.8,3.0,88.5,79.7,67.2,20.3,41.801762,-87.711025
1.1,93.5,,,,,12.4,41.785183,-87.608633
3.6,96.0,,,,,2.1,41.729692,-87.576643
1.6,94.1,,,,,15.5,41.883362,-87.668077
7.8,93.4,,,,,5.2,41.768555,-87.582954
,94.6,,,,,2.4,41.922415,-87.681358
6.0,92.7,,,,,12.1,41.897663,-87.765606
